Symbol,Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
ADA-USD,Cardano USD
BNB-USD,BinanceCoin USD
USDT-USD,Tether USD
XRP-USD,XRP USD
HEX-USD,HEX USD
SOL1-USD,Solana USD
DOGE-USD,Dogecoin USD
DOT1-USD,Polkadot USD
USDC-USD,USDCoin USD
UNI3-USD,Uniswap USD
LTC-USD,Litecoin USD
LINK-USD,Chainlink USD
BCH-USD,BitcoinCash USD
LUNA1-USD,Terra USD
ICP1-USD,InternetComputer USD
MATIC-USD,MaticNetwork USD
AVAX-USD,Avalanche USD
FIL-USD,FilecoinFutures USD
VET-USD,VeChain USD
ETC-USD,EthereumClassic USD
XLM-USD,Stellar USD
THETA-USD,THETA USD
TRX-USD,TRON USD
AAVE-USD,Aave USD
XMR-USD,Monero USD
EOS-USD,EOS USD
ATOM1-USD,Cosmos USD
MIOTA-USD,IOTA USD
GRT2-USD,TheGraph USD
XTZ-USD,Tezos USD
CRO-USD,CryptocomCoin USD
ALGO-USD,Algorand USD
NEO-USD,NEO USD
MKR-USD,Maker USD
BSV-USD,BitcoinSV USD
KSM-USD,Kusama USD
EGLD-USD,Elrond USD
BTT1-USD,BitTorrent USD
WAVES-USD,Waves USD
HBAR-USD,HederaHashgraph USD
QNT-USD,Quant USD
SHIB-USD,SHIBA INU USD
COMP-USD,Compound USD
DASH-USD,Dash USD
CHZ-USD,Chiliz USD
RUNE-USD,THORChain USD
AMP1-USD,Amp USD
HNT1-USD,Helium USD
CTC1-USD,Creditcoin USD
DCR-USD,Decred USD
HOT1-USD,Holo USD
XEM-USD,NEM USD
ZEC-USD,Zcash USD
TFUEL-USD,ThetaFuel USD
STX1-USD,Stacks USD
MANA-USD,Decentraland USD
CCXX-USD,CounosX USD
AR-USD,Arweave USD
SUSHI-USD,Sushi USD
ENJ-USD,EnjinCoin USD
XDC-USD,XinFinNetwork USD
YFI-USD,yearnfinance USD
CELO-USD,Celo USD
CEL-USD,Celsius USD
ZIL-USD,Zilliqa USD
SNX-USD,SynthetixNetworkToken USD
BTG-USD,BitcoinGold USD
RVN-USD,Ravencoin USD
QTUM-USD,Qtum USD
BAT-USD,BasicAttentionToken USD
TUSD-USD,TrueUSD USD
ONE2-USD,Harmony USD
ZEN-USD,Horizen USD
SC-USD,Siacoin USD
ICX-USD,ICON USD
ONT-USD,Ontology USD
BNT-USD,Bancor USD
ZRX-USD,0x USD
CRV-USD,CurveDAOToken USD
OMG-USD,OmiseGO USD
IOST-USD,IOST USD
DGB-USD,DigiByte USD
NANO-USD,Nano USD
ANKR-USD,Ankr USD
DFI-USD,DeFiChain USD
UMA-USD,UMA USD
SAND-USD,TheSandbox USD
XWC-USD,WhiteCoin USD
IOTX-USD,IoTeX USD
VGX-USD,VoyagerToken USD
KAVA-USD,Kava USD
LRC-USD,Loopring USD
RSR-USD,ReserveRights USD
WAXP-USD,WAX USD
GLM-USD,Golem USD
LSK-USD,Lisk USD
ERG-USD,Ergo USD
ARRR-USD,PirateChain USD
STORJ-USD,Storj USD
MED-USD,MediBlocQRC20 USD
FET-USD,Fetch USD
XVG-USD,Verge USD
BCD-USD,BitcoinDiamond USD
VTHO-USD,VeThorToken USD
ARDR-USD,Ardor USD
CKB-USD,NervosNetwork USD
GNO-USD,Gnosis USD
CVC-USD,Civic USD
RLC-USD,iExecRLC USD
SRM-USD,Serum USD
DAG-USD,Constellation USD
EWT-USD,EnergyWebToken USD
SNT-USD,Status USD
XCH-USD,ChiaNetwork USD
TWT-USD,TrustWalletToken USD
STRAX-USD,Stratis USD
REP-USD,Augur USD
BAND-USD,BandProtocol USD
NKN-USD,NKN USD
COTI-USD,COTI USD
MIR1-USD,MirrorProtocol USD
FUN-USD,FunFair USD
OXT-USD,Orchid USD
HIVE-USD,Hive USD
TOMO-USD,TomoChain USD
ACH-USD,AlchemyPay USD
STEEM-USD,Steem USD
ANT-USD,Aragon USD
MAID-USD,MaidSafeCoin USD
MTL-USD,Metal USD
ETN-USD,Electroneum USD
ARK-USD,Ark USD
NU-USD,NuCypher USD
BAL-USD,Balancer USD
WAN-USD,Wanchain USD
PHA-USD,PhalaNetwork USD
VRA-USD,Verasity USD
SAPP-USD,Sapphire USD
MLN-USD,Melon USD
VLX-USD,Velas USD
BTS-USD,BitShares USD
META-USD,Metadium USD
AVA-USD,Travalacom USD
SYS-USD,Syscoin USD
KIN-USD,Kin USD
PAC-USD,PACGlobal USD
KMD-USD,Komodo USD
MCO-USD,MCO USD
IRIS-USD,IRISnet USD
DERO-USD,Dero USD
PPT-USD,Populous USD
HNS-USD,Handshake USD
XNC-USD,XeniosCoin USD
ABBC-USD,ABBCCoin USD
DNT-USD,district0x USD
WOZX-USD,EFFORCE USD
BTM-USD,Bytom USD
TT-USD,ThunderToken USD
GAS-USD,Gas USD
DIVI-USD,Divi USD
KDA-USD,Kadena USD
FIRO-USD,Firo USD
CRU-USD,Crust USD
MONA-USD,MonaCoin USD
